Callout Line	Date Of Report	Tbuy SO	Tbuy SO Line	Market	Market Planner	Callout	Order ID	Project ID	ATT Item	Mfg Item	Item Description	Shipped Qty	Market Price	Extended Price	Xdock User	Xdock Location	Xdock State	Order Accepted Date	Delivered Date	Need By Date	Xdock Received Date	Days At Xdock	Partial Pickups	Return To Crossdock	Tracking Number	Partial Qty On Hand	Qty On Hand	Extended On Hand Dollar Value	Market Reported Qty On Hand	Specific Reason Not Deployed	Residual Material On Hand	Planned Deployment Date	Actual Deployment Date	Qty Available For Reallocation	Reallocation Qty	Qty For Reallocation By Inventory Planner	Submit RMA	Qty Remaining Not Deployed	Financial Risk	Comments	Project Number	Project Description	Header Ship To Location	Header Ship To Location Type	Ordered By Contact Email	Turf Vendor	Pick Up By Company	Pick Up By Subcontractor	Pick Up By Email	Erf Special Instructions	Xdock Comments	Erf Creation Date	Requested By Date For Pickup	Erf Last Submitted Date	Program Type	Project Manager
1	21-Nov-14	5715524	3.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	CEQ.11608	UCRRUS11B5-48	Ericsson,UCRRUS11B5-48,,,,RRUS11 B5 850, 5MHz BW,,2x40W,,-48V,,	3	3,368.80	10,106.40	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	-	3	10,106.40	-	-	-	-	-	3	0	0	-	3	10,106.40	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
10	21-Nov-14	5715524	15.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	CEQ.31538	EPD3603-DCSP	Andrew,EPD3603-DCSP,,,,Dual Power - Power,Distribution Unit for TMA,(31,,	1	345.00	345.00	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	-	1	345.00	-	-	-	-	-	1	0	0	-	1	345.00	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
11	21-Nov-14	5715524	9.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	NEQ.00506	101601	Emerson,101601,,,,20A -48VDC breaker,EXTENSION,,,	1	14.50	14.50	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	1.00	1	14.50	-	-	-	-	-	1	0	0	-	1	14.50	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
12	21-Nov-14	5715524	10.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	NEQ.00503	101598	Emerson,101598,,,,5A -48VDC breaker,AUX SW,plants,,	1	14.50	14.50	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	-	1	14.50	-	-	-	-	-	1	0	0	-	1	14.50	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
13	21-Nov-14	5715524	11.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	CEQ.24053	EB-52P	ADC,EB-52P,,,,EXTENDER BRACKET FOR 23in,RACK FOR MINI DSX,1/W,,	2	10.72	21.44	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	2.00	2	21.44	-	-	-	-	-	2	0	0	-	2	21.44	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
14	21-Nov-14	5715524	1.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	CEQ.13686	UCDUL20TODUS41RPL	Ericsson,UCDUL20TODUS41RPL,,,,DUL20 to DUS41 Replacement,Program, 75,PRB,,	1	14,218.47	14,218.47	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	1.00	1	14,218.47	-	-	-	-	-	1	0	0	-	1	14,218.47	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
15	21-Nov-14	5715524	12.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	CEQ.13161	UC6601MUDUS41A	Ericsson,UC6601MUDUS41A,,,,RBS6601 Indoor DUS41, SAU,,GPS,,50PRB,,	1	16,084.44	16,084.44	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	1.00	1	16,084.44	-	-	-	-	-	1	0	0	-	1	16,084.44	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
17	21-Nov-14	5715524	13.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	CEQ.31714	TFL492324/100M	Ericsson,TFL492324/100M,,,,RRUW DC Power Cable 100m,RRU22,,,	1	276.00	276.00	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	-	1	276.00	-	-	-	-	-	1	0	0	-	1	276.00	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
18	21-Nov-14	5715524	14.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	CEQ.10525	RPM2531633/10M	Ericsson,RPM2531633/10M,,DUPLICATE ITEM USE,CEQ.12985,RRUS Direct Fiber Cable,10m,,,	3	33.25	99.75	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	-	3	99.75	-	-	-	-	-	3	0	0	-	3	99.75	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
4	21-Nov-14	5715524	4.1	South Florida	Julian Biske	JC800935982C1	800935982	SFL JC9445 3C PHASE 1 OPT B (W 6601) - SITE CCXS	NEQ.13296	12300KW201	Telect,12300KW201,,,,Bell Rack w/o Anchor 23-inch,x 7-inch Front Guard Box,Telco,Gray,	2	222.08	444.16	sd8974@att.com	Miramar CSSL,15900 SW 27th ST	FL	31-Oct-14	10-Nov-14	28-Oct-14	10-Nov-14	11	Y	-	18-48229-4M	-	2	444.16	-	-	-	-	-	2	0	0	-	2	444.16	-	2551779873	2551779873~2551779873~42551 10126622 2551779873~10126622~CCXS	10126622~CCXS	CELL	my6289@att.com	Mastec (Pickup State Rqd)	ENG ENVIRONMENTS (WEST PALM BEACH)	Kyle Wirkkala	KWirkkala@eeigc.net	scan to FHHS FA 10023503 project 2551684333 - Hold CEQ's 13161, 13868, 24053 & NEQ.00506 for Ericsson to pick up	Received 11/10/14  released 11/17/14	17-Nov-14	19-Nov-14	17-Nov-14	LTE 104.2	-
