Items|telcobuy_items-030915170147.txt
No of lines in the file: 1
No of bytes in the file: 252
#ITEM_NUMBER|MANUFACTURER|DESCRIPTION|SERIAL|ITEM_TYPE|TECHNOLOGY|LIST_PRICE|CUSTOMER_PART_NUMBER|PRIMARY|EXTERNAL_DOWNLOAD_FLAG|EXPENDITURE_TYPE|BOM_ITEM_TYPE|LAST_UPDATE_DATE|ITEM_STATUS
CEQ.11805|Cellular Specialties|Cellular Specialties,CS10-382-403,,DISCONTINUED USE,CEQ.10857,DSP85-C/P; 1:1; EMR;,Frequency Programmable,Repeater;,Cellular/PCS,|N|NETWORK||4800|CS10-382-403|EA|E|Amplifier TMA/BDA|Standard|03/09/2015 05:03:46|Phase NTW
ANT.14875|Rosenberger Site Solutions|Rosenberger Site Solutions,CX694-2711,,,,Hanger Adapter Grommet (Kit,of 10) for one 12-2 power and,two 7mm fiber jumpers; used,with 7/8-inch hangers and,double clamps|N|NETWORK||10.46|CX694-2711|EA|B|Antenna Sys Matl|Standard|04/02/2015 01:04:55|Active NTW
ANT.14876|Rosenberger Site Solutions|Rosenberger Site Solutions,CX696-8212,,,,Hanger adapter grommet (kit,of 10) for two 8-2 power and,two 7mm fiber jumpers; used,with 1 1/4-inch hangers and,double blocks|N|NETWORK||17.09|CX696-8212|EA|B|Antenna Sys Matl|Standard|04/02/2015 01:04:55|Active NTW
ANT.14879|123eWireless|123eWireless,123-171-03,,,,Xtreme Weather RET Cable,Assembly 3,Meter,,|N|NETWORK||28|123-171-03|EA|B|Antenna Sys Matl|Standard|04/02/2015 01:04:55|Active NTW
ANT.14881|Laird|Laird,CMD69273P-AJ1,,STANDARDIZATION NON-APPROVED,,Ceiling Mounted Omni,Directional,Antenna,,|N|NETWORK||54|CMD69273P-AJ1|EA|E|Antennas|Standard|04/02/2015 01:04:55|Phase NTW
ANT.14882|Huber Suhner|Huber Suhner,3409.41.0076,84073078,,,High-Power/Low IM GDT Hybrid;,820-2500 MHZ; 7/16 Female DIN,7/16 Female,Connections,|N|NETWORK||162.81|3409.41.0076|EA|B|Antenna Sys Matl|Standard|04/02/2015 01:04:55|Active NTW
ANT.14883|KMW|KMW,EPBQ-652L8H8,,,,8ft Ultra-Broadband,(700/850/PCS/AWS/WCS) 10-port, X-pol 65deg HBW Antenna,w/Bracket &,Actuators|N|NETWORK||2399|EPBQ-652L8H8|EA|E|Antennas|Standard|04/02/2015 01:04:55|Active NTW
ANT.14885|Huber & Suhner|Huber & Suhner,98002388,,STANDARDIZATION NON-APPROVED,,2 Way Power Splitter 800/2500,MHz,,,|N|NETWORK||70|98002388|EA|B|Antenna Sys Matl|Standard|04/02/2015 01:04:55|Phase NTW
ANT.14886|Huber & Suhner|Huber & Suhner,98002757,,STANDARDIZATION NON-APPROVED,,2 Way Power Splitter 800/2500,MHz,,,|N|NETWORK||70|98002757|EA|B|Antenna Sys Matl|Standard|04/02/2015 01:04:55|Phase NTW
ANT.14889|CommScope|CommScope,SBNHH-1D85C,,,,8ft Ultra-Broadband,(700/850/PCS/WCS) Hexport,X-Pol 85deg HBW with,Bracket,|N|NETWORK||2220|SBNHH-1D85C|EA|E|Antennas|Standard|04/02/2015 01:04:55|Active NTW
ANT.14891|CommScope|CommScope,SBNHH-1D45C,,,,8ft Ultra-Broadband,(700/850/PCS/WCS) Hexport,X-Pol 45deg Antenna HBW with,Bracket,|N|NETWORK||2800|SBNHH-1D45C|EA|E|Antennas|Standard|04/02/2015 01:04:55|Active NTW
ANT.14892|CommScope|CommScope,T-50-DFI6,,,,LOW PIM TERMINATION 50 WATT,698-2700,DF,,|N|NETWORK||584|T-50-DFI6|EA|B|Antenna Sys Matl|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15252|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-30000,,,,White Jacket Preconnect Trunk,30-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1172.43|FB-L98B-A0126-30000|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15256|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-50000,,,,White Jacket Preconnect Trunk,50-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1275.98|FB-L98B-A0126-50000|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15257|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-60000,,,,White Jacket Preconnect Trunk,60-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1327.75|FB-L98B-A0126-60000|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15258|Corning|Corning,RAU5US,,,,Remote Access Unit; Five Band,Remort Supporting;,ESMR,,|N|NETWORK||1840|RAU5US|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15259|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-75000,,,,White Jacket Preconnect Trunk,75-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1405.42|FB-L98B-A0126-75000|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15261|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-125000,,,,White Jacket Preconnect Trunk,125-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1664.29|FB-L98B-A0126-125000|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15265|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-SLODF018-025,,,,Fiber Distribution Enclosure,with 23-inch relay rack,adapter plate; capacity 36,fibers (18 channels/pairs),includes 18 x LC duplex single|N|NETWORK||251.02|FB-SLODF018-025|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15269|Corning|Corning,RXU-L70A17-M,,,,Remote Expansion Unit for 700,LTE/AWS,MIMO,,|N|NETWORK||874|RXU-L70A17-M|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15272|Corning|Corning,HR1818H6C06U820470F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 6F/6Cu 16AWG Plenum,Non-Armored,470F,|N|NETWORK||739.18|HR1818H6C06U820470F-PK|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15273|Corning|Corning,HR1818H6C06U820530F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 6F/6Cu 16AWG Plenum,Non-Armored 530,Ft,|N|NETWORK||796.18|HR1818H6C06U820530F-PK|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15274|Corning|Corning,HR1818H6C06U820600F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 6F/6Cu 16AWG Plenum,Non-Armored 600,Ft,|N|NETWORK||863.98|HR1818H6C06U820600F-PK|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15275|Corning|Corning,HR1818H6C06U820700F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 6F/6Cu 16AWG Plenum,Non-Armored 700,Ft,|N|NETWORK||959.98|HR1818H6C06U820700F-PK|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15277|Corning|Corning,HR1818K6C06U820200F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 06F/6Cu 20AWG Plenum,Non-Armored 200,Ft,|N|NETWORK||399.24|HR1818K6C06U820200F-PK|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:55|Active NTW
CEQ.15278|Corning|Corning,HR1818K6C06U820420F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 06F/6Cu 20AWG Plenum,Non-Armored 420,Ft,|N|NETWORK||565.18|HR1818K6C06U820420F-PK|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15279|Corning|Corning,CCH-02U,,,,2 Rack Units; Hold 4 Closet,Connector Housing (CCH),Connector,Panels,|N|NETWORK||160.41|CCH-02U|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15284|Ericsson|Ericsson,SDF111172/1,,,,FRONT COVER/Front Solar,Shield,,,|N|NETWORK||43.23|SDF111172/1|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15285|Bafo|Bafo,MUTP5E-25BUB,,,,Cat. 5E UTP Patch Cable RJ-45,Male RJ-45 Male 25ft,Blue,,|N|NETWORK||8|MUTP5E-25BUB|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15287|CommScope|CommScope,C195-SMQM-2M-AMBG,,,,CA:CNT195 BRAIDED CABLE,ASSEMBLY,2M,,|N|NETWORK||25|C195-SMQM-2M-AMBG|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15288|Ericsson|Ericsson,SXK1251586/2,,,,Ventilation hole cover for,A2,,,|N|NETWORK||10|SXK1251586/2|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15297|Westell|Westell,DSAWM-202ALCDI4V,,,,Digital Analog Mounting,Assembly,,,|N|NETWORK||100|DSAWM-202ALCDI4V|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Phase NTW
CEQ.15298|Westell|Westell,DSAWM-202ALCDI3V,,,,Digital Analog Mounting,Assembly,,,|N|NETWORK||100|DSAWM-202ALCDI3V|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Phase NTW
CEQ.15302|Alcatel-Lucent|Alcatel-Lucent,304-1540-070,,,,Mech Terminal Insulated Crimp,Female (Package of,4),,|N|NETWORK||3|304-1540-070|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15303|Alcatel-Lucent|Alcatel-Lucent,357-7448-060,,,,Single Right Angle,Pendant,,,|N|NETWORK||3|357-7448-060|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15304|Telcobuy|Telcobuy,TBUY-849071790,,,,Bracket,,,,|N|NETWORK||9.8|TBUY-849071790|EA|B|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
NEQ.18715|Alpha Technologies|Alpha Technologies,5901489-001,,,,Replacement Door; Blank 1200A,Modular,Distribution,,|N|NETWORK||100.9|5901489-001|EA|B|Power Board 24v|Standard|04/02/2015 01:04:56|Active NTW
NEQ.18716|Telect|Telect,02122-0015,,,,GUARD BOX UF 23 IN RR 25,15/16 X 15 IN,EQ,,|N|NETWORK||250|02122-0015|EA|B|Transport Equip|Standard|04/02/2015 01:04:56|Active NTW
NEQ.18717|Heinemann|Heinemann,AM1S-B98AAA02ALDDU-W,,,,CIRCUIT BREAKER; 30A; MID,TRIP BULLET TYPE BLACK HANDLE,80V DC TRIP AMPS: 37.5 TD:,3,|N|NETWORK||77|AM1S-B98AAA02ALDDU-W|EA|B|Power Board 24v|Standard|04/02/2015 01:04:56|Active NTW
NEQ.18736|Westell|Westell,A90-FTD24P-LA22,,,,VirtualEdge Fiber Termination,Drawer; 24 LC/APC,Couplers;Two 12 Fiber,LC/APC,|N|NETWORK||535|A90-FTD24P-LA22|EA|B|Fiber Optic Equip|Standard|04/02/2015 01:04:56|Active NTW
NEQ.18744|Emerson Network Power|Emerson Network Power,150292,,,,Kit; 1 Ft Heat,Shrink,,,|N|NETWORK||5.13|150292|EA|B|Power Board -48v|Standard|04/02/2015 01:04:56|Active NTW
NEQ.18754|Telect|Telect,636-6520-001,,,,Support Cable (Kit of,6),,,|N|NETWORK||25|636-6520-001|EA|B|Transport Equip|Standard|04/02/2015 01:04:56|Active NTW
SEQ.17233|Oracle|Oracle,7055021,,,,X4600 ATLS1QGe Gigabit M2,PCIe 4-Port,Card,,|N|NETWORK||150|7055021|EA|B|Adjunct Data Proc Equip|Standard|04/02/2015 01:04:56|Active NTW
SEQ.17235|Juniper Networks|Juniper Networks,FTRJ8519P1BNL-J3,,,,GBIC SFP Transceiver,Module,,,|N|NETWORK||365|FTRJ8519P1BNL-J3|EA|E|Adjunct Data Proc Equip|Standard|04/02/2015 01:04:56|Active NTW
SEQ.17239|Dantel|Dantel,A25-00704-10,,,,AC to -48 DC power supply for,DSS01,,,|N|NETWORK||90|A25-00704-10|EA|B|Adjunct Data Proc Equip|Standard|04/02/2015 01:04:56|Active NTW
SEQ.17248|Sonus Networks|Sonus Networks,822-00097,,,,GSX9000HD Fan,Tray,,,|N|NETWORK||288|822-00097|EA|B|Adjunct Switch Equip|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15208|Ericsson|Ericsson,1/BFM901575,,,,CABINET/Purcell FLX16-2520,1600W - RBS (V2,Cab),,|Y|NETWORK||6750|1/BFM901575|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15251|Corning|Corning,OIM,,,,Optical Interface,Module,,,|Y|NETWORK||1288|OIM|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
