RecordType,Item,Manufacturer,Description,Quantity,SerialNumber
I,009-6212-2100,Telect,BREAKER PAN HIGH CURR 200A -48/-24/+24V DUAL-FEED,4,
I,03967,,6ft cat6 snagless utp cbl-gry,20,01231470
I,03967,,6ft cat6 snagless utp cbl-gry,63,
I,04022,,15ft cat6 snagless utp cable-org,5,1231470
I,1000BASE-SX,CISCO,10-1588-01 850NM 03-50 21 CFR (J),25,
I,1029-00,Oberon,Wall Mount Enclosure wht,28,
I,103801254,,Systimax 110 Connecting Clock; 5 Pair Count; 10 Per Package,19,
I,104158829,AVAYA,ADAPTER 356A,4,
I,10720-RPR-SFP,CISCO,OC48/STM16 Dual Mode RPR/SRP Uplink Mod-SFP Optics,4,
I,107737934,AVAYA,CP TN573B SW NODE INTF,1,
I,107952475,SYSTIMAX,4-PORT SURFACE MOUNT UNLOADED,3,
I,108168550,SYSTIMAX,FACE PLATE,47,
I,108332446,AVAYA,100A ANALOG INTERFACE MODULE FOR 6416 AND 6424 PHONES,12,
I,108356312,,Fleximax M-Series 24 Port Blank Patch Panel,3,
I,108873233,AVAYA,AVAYA CHASSIS P133G2 24 1,2,
I,1151A1,AVAYA,POWER SUPPLY KIT,2,
I,115259,TANDBERG,Omni Directional Microphone,1,
I,1163401,TANDBERG,Tandberg VCS Control,1,
I,12000/10,CISCO,Cisco 12000 10-Slot Router,6,
I,1200290L1,ADTRAN,ADTRAN M13/STS-1 MULTIPLEXER MX2800 CHASSIS,1,
I,1200291L2,ADTRAN,ADTRAN 56-PORT PATCH PANEL W/4 CABLES,1,
I,1200657L2,,MX2800 BATTERY BACKUP ADPTR L2,1,
I,1203022L1,GRAYBAR,T1 CSU ACE 3RD GEN VOICE ONLY 12V DC SUP W/AC ADPT,6,
I,130478-50,OTHER,BRIDGING CLIPS 2 POSITION TIN PLATED ALLOY,7,
I,1346018,,CMRV4/24 6T 1M' (1000 FT),2,
I,1372400,,13.7V AC 2400MA AC ADAPTER W/ 7FT PWR CORD,1,
I,142257-003,,HP POWER CABLE - IEC 320,18,
I,142263-002,,2.0M UNIVERSAL JUMPER B C14 TO C13,19,
I,143745,,telco 25pr pvc s/e male 50ft,7,
I,143745,,telco 25pr pvc s/e male 50ft,3,01231470
I,143745,,telco 25pr pvc s/e male 50ft,1,01231470
I,143745,,telco 25pr pvc s/e male 50ft,2,1231470
I,15454-10G-XR,CISCO,10G; Any Reach; XFP Compatible,6,
I,15454-AR-XP-LIC,CISCO,ONS15454 Any-Rate Xponder - SW License Upgradeable,1,
I,15454-BLANK,CISCO,Empty Slot Filler Panel,16,
I,15454-CADS1-H-25,CISCO,DS1 Cable Assembly; UBIC-H - 25 ft,23,
I,15454-CC-FTA,CISCO,Fan Tray,2,
I,15454-EIA-1AMPB84,CISCO,HD Elect I/F; 84 AMP; B Side,1,
I,15454-M-TNC-K9,CISCO,Transport Node Controller,4,
I,15454-M6-AC,CISCO,MultiServ Transport Platform M6 Shelf; 6 Slots; AC,2,
