OPERATION_CODE	ITEM_NUMBER	MANUFACTURER	DESCRIPTION	CATEGORY	SKU	PRICE	AGENCY_APPROVED
A	20100373	DELL	 Dell PowerEdge 2950 2U 5120,PE2950,4MB/1.86GHZ,1066FSB  1066FSB 2 GB DDR2 667MHz 2x18GB,Raid 1,3x18GB, Raid 5 24x CD-ROM Floppy 2 On-Board and 1 Intel Pro1000MT No OS PCI E Riser Redundant Silver 3YR 	Unknown Category	21617861770	4894.37	N
A	20100374	DELL	 Dell PowerEdge 1950 1U 5120,PE2950,4MB/1.86GHZ,1066FSB  1066FSB 2 GB DDR2 667MHz 2x36 GB, Raid 1 24x CD-ROM Floppy 2 On-Board and 1 Intel Pro1000MT No OS PCI-E riser Redundant Silver 3YR 	Unknown Category	21617861771	4300.87	N
A	20100375	DELL	 Dell PowerEdge 2950 2U 5120,PE2950,4MB/1.86GHZ,1066FSB  1066FSB 4 GB DDR2 667MHz 36 GB, SCSI 24x CD-ROM Floppy 2 On-Board and 1 Intel Pro1000MT No OS PCI-X riser with 3 x 64-bit/133MHz slots Redundant Silver 3YR 	Unknown Category	21617861772	4168.71	N
A	20100376	DELL	 Dell PowerEdge 6850  208Volt Power 4U 4x3.2 GHz/8MB dual core  4 GB DDR2 36 GB 15K RPM, SCSI 24x CD-ROM Floppy 1 Dual Port PCI-X Gigabit Server, 1 PCI-X Gigabit Server No OS 7 I/O slots on 3 PCI buses Redundant 3 year, 24x7, 4 hour response 	Unknown Category	21617861773	11923.72	N
A	20100377	DELL	 Dell PowerEdge 6850  208Volt Power 4U 4x2.6 GHz/4MB dual core  4 GB DDR SDRAM 2x36 GB 15K RPM, Raid 1 24x CD-ROM Floppy 1 Dual Port PCI-X Gigabit Server, 1 PCI-X Gigabit Server No OS 7 I/O slots on 3 PCI buses Redundant 3 year, 24x7, 4 hour response 	Unknown Category	21617861774	9877.74	N
A	P420IMU	ZEBRA TECHNOLOGIES	Zebra I Series Dual Sided Card Printer w/Magnetic Encoder 	Unknown Category	21612533352	3737.75	N
A	RCP448	ZEBRA TECHNOLOGIES	Full Color Ribbon for ISeries 	Unknown Category	21612533354	84.15	N
A	RCK96	ZEBRA TECHNOLOGIES	Prem. Cleaning Kit (50 cards & 25Swabs) 	Unknown Category	21612533356	63.69	N
A	RCA20	ZEBRA TECHNOLOGIES	Stapler Style Punch 	Unknown Category	21612533358	69.36	N
A	20108406	INTELLISYNC CORP	SW12-INTELLISYNC HANDHELD EDITION FOR ENT + 12M - 5-99U - Note: requires a min. purchase of Qty 5	Unknown Category	21613857699	81.73	N
