SOURCE,PO_CREATED,SUPPLIER,SSPN_PO,SSPN_LINE,EXT_SYS_REF,EXT_SYS_LINE
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764584,1,0001182857-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764477,1,0001182858-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764477,2,0001182858-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764477,3,0001182858-1,3
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,1,0001183394-37,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,8,0001183394-37,10
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,7,0001183394-37,11
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,9,0001183394-37,12
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,19,0001183394-37,13
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,21,0001183394-37,14
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,20,0001183394-37,15
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,36,0001183394-37,16
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,34,0001183394-37,17
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,35,0001183394-37,18
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,10,0001183394-37,19
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,2,0001183394-37,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,11,0001183394-37,20
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,12,0001183394-37,21
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,39,0001183394-37,22
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,38,0001183394-37,23
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,37,0001183394-37,24
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,31,0001183394-37,25
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764600,32,0001183394-37,26
