MANUFACTURER_PART_NUMBER,COST_SEGMENT,MANUFACTURER,DESCRIPTION,SERIAL_CONTROL,MARKET_PRICE,LIST_PRICE,ATTRIBUTE8
BE7K-K9-XU,Actual,324,"Cisco Business Edition 7000 Server, Export Unrestricted SW",1,23468,4693.6,BE7K-K9-XU
CON-SNT-BE7KK9XU,Actual,324,"SMARTNET 8X5XNBD Cisco BE7000 UCS C240M3 TRC2 Srv,UNRST",1,336,100.8,CON-SNT-BE7KK9XU
CIT2-RAID-9271CV,Actual,324,"MegaRAID 9271CV Raid card with 8 internal SAS/SATA parts, S",1,0,0,CIT2-RAID-9271CV
BE7K-SW-9X10X-XU,Actual,324,Media (no lic) for Cisco Collaboration 9.x 10.x Export Unrst,1,0,0,BE7K-SW-9X10X-XU
VMW-VS5-SNS,Actual,324,Cisco UC Virt. Hypervisor 5.x - SnS,1,0,0,VMW-VS5-SNS
CIT2-MR-1X082RY-A,Actual,324,8GB DDR3-1333-MHz RDIMM/PC3-10600/2R/1.35v,1,0,0,CIT2-MR-1X082RY-A
CIT2-PSU2-1200,Actual,324,1200W 2u Power Supply For UCS,1,0,0,CIT2-PSU2-1200
R2XX-RAID5,Actual,324,Enable RAID 5 Setting,1,0,0,R2XX-RAID5
CIT2-A03-D300GA2,Actual,324,300GB 6Gb SAS 10K RPM SFF HDD/hot plug/drive sled mounted,1,0,0,CIT2-A03-D300GA2
CIT2-CPU-E5-2640,Actual,324,2.50 GHz E5-2640/95W 6C/15MB Cache/DDR3 1333MHz,1,0,0,CIT2-CPU-E5-2640
CIT2-PCIE-IRJ45,Actual,324,Intel i350 Quad Port 1Gb Adapter,1,0,0,CIT2-PCIE-IRJ45
VMW-VS5-HYP-K9,Actual,324,Cisco UC Virt. Hypervisor 5.x (2-socket),1,0,0,VMW-VS5-HYP-K9
CAB-9K12A-NA,Actual,324,"Power Cord, 125VAC 13A NEMA 5-15 Plug, North America",1,0,0,CAB-9K12A-NA
C2911-CME-SRST/K9,Actual,324,"2911 Voice Bundle w/PVDM3-16,FL-CME-SRST-25,UC Lic,FL-CUBE10",1,4095,819,C2911-CME-SRST/K9
CON-SNT-2911CMST,Actual,324,SMARTNET 8X5XNBD 2911 Voice Bundle w/ UC License PAK,1,440,132,CON-SNT-2911CMST
PWR-2911-AC,Actual,324,Cisco 2911 AC Power Supply,1,0,0,PWR-2911-AC
CAB-AC,Actual,324,"AC Power Cord (North America), C13, NEMA 5-15P, 2.1m",1,0,0,CAB-AC
FL-CUBEE-5,Actual,324,Unified Border Element Enterprise License - 5 sessions,1,0,0,FL-CUBEE-5
FL-CME-SRST-25,Actual,324,Communication Manager Express or SRST - 25 seat license,1,0,0,FL-CME-SRST-25
ISR-CCP-EXP,Actual,324,Cisco Config Pro Express on Router Flash,1,0,0,ISR-CCP-EXP
SL-29-IPB-K9,Actual,324,IP Base License  for Cisco 2901-2951,1,0,0,SL-29-IPB-K9
PVDM3-16,Actual,324,16-channel high-density voice and video DSP module,1,0,0,PVDM3-16
MEM-CF-256MB,Actual,324,"256MB Compact Flash for Cisco 1900, 2900, 3900 ISR",1,0,0,MEM-CF-256MB
SL-29-UC-K9,Actual,324,Unified Communication  License  for Cisco 2901-2951,1,0,0,SL-29-UC-K9
SM-S-BLANK,Actual,324,"Removable faceplate for SM slot on Cisco 2900,3900,4400 ISR",1,0,0,SM-S-BLANK
MEM-2900-512MB-DEF,Actual,324,512MB DRAM for Cisco 2901-2921 ISR (Default),1,0,0,MEM-2900-512MB-DEF
HWIC-BLANK,Actual,324,Blank faceplate for HWIC slot on Cisco ISR,1,0,0,HWIC-BLANK
S29UK9-15303M,Actual,324,Cisco 2901-2921 IOS UNIVERSAL,1,0,0,S29UK9-15303M
FL-SRST,Actual,324,Cisco Survivable Remote Site Telephony License,1,0,0,FL-SRST
WS-C3750X-48PF-S,Actual,324,Catalyst 3750X 48 Port Full PoE IP Base,1,14000,2800,WS-C3750X-48PF-S
CON-SNT-3750X4FS,Actual,324,SMARTNET 8X5XNBD Catalyst 3750X 48 Port Full PoE IP Base,1,840,252,CON-SNT-3750X4FS
CAB-C15-CBN,Actual,324,"Cabinet Jumper Power Cord, 250 VAC 13A, C14-C15 Connectors",1,0,0,CAB-C15-CBN
C3KX-PWR-1100WAC/2,Actual,324,Catalyst 3K-X 1100W AC Secondary Power Supply,1,1500,300,C3KX-PWR-1100WAC/2
S375XVK9T-12255SE,Actual,324,CAT 3750X IOS UNIVERSAL WITH WEB BASE DEV MGR,1,0,0,S375XVK9T-12255SE
CAB-STACK-50CM,Actual,324,Cisco StackWise 50CM Stacking Cable,1,0,0,CAB-STACK-50CM
CAB-SPWR-30CM,Actual,324,Catalyst 3750X and 3850 Stack Power Cable 30 CM,1,0,0,CAB-SPWR-30CM
C3KX-PWR-1100WAC,Actual,324,Catalyst 3K-X 1100W AC Power Supply,1,0,0,C3KX-PWR-1100WAC
C3KX-NM-BLANK,Actual,324,Catalyst 3K-X Network Module Blank,1,0,0,C3KX-NM-BLANK
CISCO3945-V/K9,Actual,324,"Cisco 3945 Voice Bundle, PVDM3-64, UC License PAK, FL-CUBE25",1,14295,2859,CISCO3945-V/K9
CON-SNT-3945V,Actual,324,"SMARTNET 8X5XNBD Cisco 3945 Voice Bundle, UC License PAK",1,1575,472.5,CON-SNT-3945V
PWR-3900-AC,Actual,324,Cisco 3925/3945 AC Power Supply,1,0,0,PWR-3900-AC
CAB-AC,Actual,324,"AC Power Cord (North America), C13, NEMA 5-15P, 2.1m",1,0,0,CAB-AC
MEM-CF-256MB,Actual,324,"256MB Compact Flash for Cisco 1900, 2900, 3900 ISR",1,0,0,MEM-CF-256MB
ISR-CCP-EXP,Actual,324,Cisco Config Pro Express on Router Flash,1,0,0,ISR-CCP-EXP
FL-CUBEE-25,Actual,324,Unified Border Element Enterprise License - 25 sessions,1,0,0,FL-CUBEE-25
SM-S-BLANK,Actual,324,"Removable faceplate for SM slot on Cisco 2900,3900,4400 ISR",1,0,0,SM-S-BLANK
HWIC-BLANK,Actual,324,Blank faceplate for HWIC slot on Cisco ISR,1,0,0,HWIC-BLANK
C3900-SPE150/K9,Actual,324,Cisco Services Performance Engine 150 for Cisco 3945 ISR,1,0,0,C3900-SPE150/K9
SL-39-IPB-K9,Actual,324,IP Base License for Cisco 3925/3945,1,0,0,SL-39-IPB-K9
3900-FANASSY,Actual,324,Cisco 3925/3945 Fan Assembly (Bezel included),1,0,0,3900-FANASSY
MEM-3900-1GB-DEF,Actual,324,1GB DRAM (512MB+512MB) for Cisco 3925/3945 ISR (Default),1,0,0,MEM-3900-1GB-DEF
RPS-COVER-3900,Actual,324,Cover for empty 2nd Power Supply slot on Cisco 3925/3945,1,0,0,RPS-COVER-3900
SL-39-UC-K9,Actual,324,Unified Communication License  for Cisco 3900 Series,1,0,0,SL-39-UC-K9
S39UK9-15303M,Actual,324,Cisco 3925-3945 IOS UNIVERSAL,1,0,0,S39UK9-15303M
FL-SRST,Actual,324,Cisco Survivable Remote Site Telephony License,1,0,0,FL-SRST
FL-CME-SRST-5,Actual,324,Communication Manager Express or SRST - 5 seat license,1,170,34,FL-CME-SRST-5
VWIC3-2MFT-T1/E1,Actual,324,2-Port 3rd Gen Multiflex Trunk Voice/WAN Int. Card - T1/E1,1,2200,440,VWIC3-2MFT-T1/E1
PVDM3-64U128,Actual,324,PVDM3 64-channel to 128-channel factory upgrade,1,3000,600,PVDM3-64U128
