SO_NUM,SCHEDULE_DATE,PROMISE_DATE
6084257,9/1/2015,9/1/2015
6095728,9/1/2015,9/1/2015
6050997,9/4/2015,9/4/2015
6051007,9/4/2015,9/4/2015
6051008,9/4/2015,9/4/2015
6060398,8/31/2015,8/31/2015
6073653,8/25/2015,8/25/2015
6082191,9/2/2015,9/2/2015
6005046,8/25/2015,8/25/2015
6005054,8/25/2015,8/25/2015
5924372,8/26/2015,8/26/2015
5924375,8/26/2015,8/26/2015
6021444,8/24/2015,8/24/2015
6018780,9/4/2015,9/4/2015
6018789,9/4/2015,9/4/2015
6018793,9/4/2015,9/4/2015
6056582,8/28/2015,8/28/2015
6089244,8/25/2015,8/25/2015
6065486,9/2/2015,9/2/2015
6067119,9/2/2015,9/2/2015
6067300,9/21/2015,9/21/2015
6073066,9/21/2015,9/21/2015
6073093,9/21/2015,9/21/2015
6074791,8/25/2015,8/25/2015
6073053,9/21/2015,9/21/2015
6074305,9/21/2015,9/21/2015
6076967,9/21/2015,9/21/2015
6082201,9/21/2015,9/21/2015
6082727,9/21/2015,9/21/2015
6082735,9/21/2015,9/21/2015
6082740,9/21/2015,9/21/2015
6082742,9/21/2015,9/21/2015
6082745,9/21/2015,9/21/2015
6083806,8/27/2015,8/27/2015
6084567,8/27/2015,8/27/2015
6083809,10/8/2015,10/8/2015
6092327,8/27/2015,8/27/2015
6091857,9/3/2015,9/3/2015
6093721,9/14/2015,9/14/2015
6091881,9/2/2015,9/2/2015
6090142,9/7/2015,9/7/2015
6093704,9/3/2015,9/3/2015
6088357,9/21/2015,9/21/2015
6088358,9/21/2015,9/21/2015
6088376,9/21/2015,9/21/2015
6088378,9/21/2015,9/21/2015
6093775,10/8/2015,10/8/2015
6095934,10/8/2015,10/8/2015
6088708,9/4/2015,9/4/2015
6080079,8/25/2015,8/25/2015
